open_uuid,open_test_uuid,time_utc,cat_technology,network_type,lat,long,loc_src,loc_accuracy,zip_code,gkz,country_location,download_kbit,upload_kbit,ping_ms,lte_rsrp,lte_rsrq,server_name,test_duration,num_threads,platform,model,client_version,network_mcc_mnc,network_name,sim_mcc_mnc,nat_type,asn,ip_anonym,ndt_download_kbit,ndt_upload_kbit,implausible,signal_strength
P3ea63200-f88e-4ea3-80af-378c2534f388,O1c690cce-03e2-43f1-8b3b-6fed22969764,2017-05-24 19:07:38,LAN,LAN,47.956778,16.843694,Browser,20.0,7100,10713,AT,75609,7587,14.0,,,RTR Websocket 10G AT,7,3,,Chrome,0.6.4,,,,,8559,89.104.21,,,false,
P36d71244-3fb0-43a7-a10d-2597c6304063,O2e344c49-b398-4aca-9ae6-cf4fd897ff80,2017-05-24 19:08:08,LAN,LAN,,,,,,,,17530,7231,35.1,,,RTR Websocket 10G AT,7,3,,Mobile Firefox,0.6.4,,,,,12793,213.147.166,,,false,
P628f606c-baf3-4bef-a08b-baafa4cf5c3a,O6f93c0e0-289a-4ad2-ac41-19655b0b34fa,2017-05-24 19:08:10,LAN,LAN,48.298383199999996,16.377224599999998,Browser,30.0,2103,31214,AT,15167,958,9.2,,,RTR Websocket 10G AT,7,3,,Firefox,0.6.4,,,,,8339,81.217.162,,,false,
P708ab1df-0e86-4a22-9f9c-9569dd111656,Ocb2bd9e7-0316-42f6-9579-2825588659c3,2017-05-24 19:08:20,WLAN,WLAN,,,,,,,,18025,4901,33.7,,,RTR Server 10G AT,7,3,Android,Galaxy S6 edge+,3.0.2,,,,nat_local_to_public_ipv4,25255,178.115.130,,,false,-64
P06f0e7a6-c453-4c46-9e7b-3cc386cdd384,O14aa4fb6-c5d5-4e71-a1ea-47dbe154fe65,2017-05-24 19:08:36,4G,LTE,,,,,,,,5135,233,201.6,-112,-15,RTR Server 10G AT,7,3,Android,SM-S320VL,2.2.21,311-480," ",311-480,nat_public_to_public_ipv4,22394,174.255.203,,,false,
Pa99597c9-bd9e-4605-a25a-c38d519fe881,Od0bc8e9f-ee41-4d47-b428-bfcf8fc33bab,2017-05-24 19:08:38,WLAN,WLAN,48.1595195,16.2914483,network,20.0,1230,92301,AT,17186,7989,12.8,,,RTR Server 10G AT,7,3,Android,Huawei P8lite ALE-L04,3.0.2,,,,nat_local_to_public_ipv4,12793,81.5.253,,,false,-55
P3fda7336-17b3-4ad5-89bc-054d407cafba,O3cf777e7-ae03-48f0-8ac2-f5bbeff58a0b,2017-05-24 19:08:48,LAN,LAN,,,,,,,,18447,5461,26.3,,,RTR Websocket 10G AT,7,3,,Firefox,0.6.4,,,,,12793,213.147.160,,,false,
Pbb945cad-cf26-4765-a22d-a6be06315f22,O2e051a6b-8ef2-43dd-816c-e1384b6ca470,2017-05-24 19:08:57,LAN,LAN,48.215178099999996,16.3033805,Browser,1738.0,1160,91601,AT,44868,4434,90.7,,,RTR Websocket 10G AT,7,3,,Firefox,0.6.4,,,,,6830,62.178.149,,,false,
P3620c332-fa23-4ad2-91b6-36e0e700ea09,Ob6d6daf2-8392-41f3-bbad-ab9c4deeb946,2017-05-24 19:09:01,LAN,LAN,,,,,,,,15069,2862,10.9,,,RTR Websocket 10G AT,7,3,,Firefox,0.6.4,,,,,8447,62.46.82,,,false,
Pf7ce4bf3-ffc3-4708-939e-546cdc56f093,O2eb45c9f-07c6-4ffd-9e37-e7dcf574f0d2,2017-05-24 19:09:04,4G,LTE,45.70180655336829,13.46381687793879,,8.0,,,,13416,6620,41.5,,,RTR Server 10G AT,7,3,iOS,iPhone 7 Plus,1.7,,,232-01,nat_public_to_public_ipv4,12793,213.225.0,,,false,
Paeb3bed2-f597-4e6a-870f-97d103c5994e,Odc1515b9-5880-40d9-a538-f167739fc585,2017-05-24 19:09:06,WLAN,WLAN,48.25495160821286,16.40978277685335,,65.0,1210,92101,AT,3398,7929,40.0,,,RTR Server 10G AT,7,3,iOS,iPad Air 2 (Wi-Fi Only),1.7,,,,nat_local_to_public_ipv4,25255,178.165.128,,,false,
P248789da-b9b2-4e4e-8269-2ff22a3829a1,O89a0017b-d932-4631-a984-c9624bd68712,2017-05-24 19:09:14,LAN,LAN,48.2984004,16.3771941,Browser,29.0,2103,31214,AT,12093,1006,8.3,,,RTR Websocket 10G AT,7,3,,Chrome,0.6.4,,,,,8339,81.217.162,,,false,
P7733d3af-4dc7-4dd5-9a49-6ab0446dd684,O0174ef62-fadb-4f05-8ec0-8fdcd1a5b305,2017-05-24 19:09:23,LAN,LAN,46.73248830000001,15.255130999999999,Browser,30.0,8551,60343,AT,21277,5052,24.0,,,RTR Websocket 10G AT,7,3,,Chrome,0.6.4,,,,,25255,178.115.131,,,false,
P08a56c8a-6526-431c-aa16-3a379cd247a9,O80d6991f-380e-44bc-967b-e1b851c7b460,2017-05-24 19:09:27,WLAN,WLAN,,,,,,,,12955,2640,33.7,,,RTR Server 10G AT,7,3,Android,ONEPLUS A3003,3.0.2,,,,nat_local_to_public_ipv4,25255,77.118.229,,,false,-52
Pa99597c9-bd9e-4605-a25a-c38d519fe881,O5d91a660-2722-4f66-b566-8c36bd481845,2017-05-24 19:09:32,WLAN,WLAN,48.1595195,16.2914483,network,20.0,1230,92301,AT,16228,5733,13.0,,,RTR Server 10G AT,7,3,Android,Huawei P8lite ALE-L04,3.0.2,,,,nat_local_to_public_ipv4,12793,81.5.253,,,false,-55
Pbedc23b2-f405-4264-a814-4515efdefb34,O02d3f70a-c0b3-4302-9cd8-3f12b3956d36,2017-05-24 19:09:34,LAN,LAN,,,,,,,,21255,4844,20.0,,,RTR Websocket 10G AT,7,3,,Firefox,0.6.4,,,,,25255,178.115.131,,,false,
P9865dd69-4c65-4fdb-82d3-d063f18e7d18,O5a626690-d34a-45e5-a7db-6b7c8b38bb17,2017-05-24 19:09:51,WLAN,WLAN,,,,,,,,10255,3552,34.5,,,RTR Server 10G AT,7,3,Android,Samsung Xcover 3,3.0.2,,,,nat_local_to_public_ipv4,12793,213.147.165,,,false,-64
P5c5c8db5-59f4-4b3c-8a31-519a244093a5,O272f745a-9685-430c-a8eb-e76808081dda,2017-05-24 19:10:06,LAN,LAN,47.8051393,13.038068599999999,Browser,3824.0,,,,12673,686,34.7,,,RTR Websocket 10G AT,7,3,,Firefox,0.6.4,,,,,6830,85.127.104,,,false,
Pd1cf00e4-2f49-4722-88d9-0f2b5497bb01,Of3284c62-f1b2-4535-a023-bd87bda5566f,2017-05-24 19:10:16,WLAN,WLAN,,,,,,,,13356,8929,104.7,,,RTR Server 10G AT,7,3,Android,Galaxy TabS 8.4 (SM-T705),3.0.2,,,,nat_local_to_public_ipv4,1901,194.96.154,,,false,-42
Pfc2d0df6-86a5-47ff-8129-3a6eaf19db73,O10f57514-546f-4be1-a7a7-c9f794f9a61c,2017-05-24 19:10:18,WLAN,WLAN,47.94957793787862,14.78869761341697,,50.0,3340,30301,AT,21111,2908,17.0,,,RTR Server 10G AT,7,3,iOS,iPad Air Cellular,1.7,,,,nat_local_to_public_ipv4,8339,81.217.90,,,false,
Pa908adb6-7ce5-4ba2-a79b-afe04efe776b,Oa368dda7-4e96-4253-b3a3-3365876ed80b,2017-05-24 19:10:20,LAN,LAN,48.29841880000001,16.3771709,Browser,26.0,2103,31214,AT,12903,994,11.0,,,RTR Websocket 10G AT,7,3,,Firefox,0.6.4,,,,,8339,81.217.162,,,false,
P08a56c8a-6526-431c-aa16-3a379cd247a9,Oc231d426-88e6-4603-a462-e03a2be56137,2017-05-24 19:10:26,WLAN,WLAN,,,,,,,,8449,2892,43.5,,,RTR Server 10G AT,7,3,Android,ONEPLUS A3003,3.0.2,,,,nat_local_to_public_ipv4,25255,77.118.229,,,false,-50
P8f9ca6e0-5077-4545-9ec2-a723cac6f284,Ofc6cdfc2-1612-4201-9c50-ecce63bb6d2c,2017-05-24 19:10:31,LAN,LAN,,,,,,,,5578,1642,65.0,,,RTR Websocket 10G AT,7,3,,Chrome Mobile,0.6.4,,,,,8412,212.95.7,,,false,
P17d9c894-9815-45e7-8c73-58fea7f6bf7a,O6140891a-31f1-43ea-8078-0c574798040b,2017-05-24 19:10:40,WLAN,WLAN,51.390692,21.1033628,network,20.0,,,PL,5088,1995,73.0,,,RTR Server 10G AT,7,3,Android,LG-H818,3.0.2,,,,nat_local_to_public_ipv4,12912,188.146.11,,,false,-71
P767073ae-9fb1-41a4-b153-b6f91237c843,O596e0f6e-3c3c-41b5-8817-e6c6521091ef,2017-05-24 19:10:49,LAN,LAN,,,,,,,,1647,277,61.3,,,RTR Websocket 10G AT,7,3,,IE Mobile,0.5,,,,,1901,193.83.122,,,false,
P97b1671b-f0a4-4372-b47e-6cd085eb3a8b,Oe0baaef5-069e-4859-a012-0baf322931d5,2017-05-24 19:11:23,WLAN,WLAN,,,,,,,,31461,18129,40.1,,,RTR Server 10G AT,7,3,Android,Huawei P9 Lite (VNS-L21),3.0.2,,,,nat_local_to_public_ipv4,25255,178.115.129,,,false,-41
P55fafe58-40a8-4d1c-b3ed-a604ea6e1c60,O72c56342-6fa8-4f8e-99cb-68693ee448f9,2017-05-24 19:11:37,WLAN,WLAN,,,,,,,,12224,591,13.2,,,RTR Server 10G AT,7,3,Android,Galaxy S7 edge,3.0.2,,,,nat_local_to_public_ipv4,8447,188.22.118,,,false,-52
P91402dbb-0e2d-4848-ae90-df5c7f8de17b,Ob2a97d37-87ef-4474-8d75-053ccab769b7,2017-05-24 19:11:38,WLAN,WLAN,,,,,,,,74372,36181,29.2,,,RTR Server 10G AT,7,3,Android,SM-G955F,3.0.2,,,,nat_local_to_public_ipv4,12793,213.225.33,,,false,-41
P46b4c178-edb4-47a0-b707-525ca7eb74b9,O4d192805-991d-4634-9323-13f968c15459,2017-05-24 19:11:47,LAN,LAN,,,,,,,,29770,6165,18.1,,,RTR Websocket 10G AT,7,3,,Chrome Mobile,0.6.4,,,,,6830,80.109.239,,,false,
Pb0081d0c-2ca1-4682-b19c-2230ea16a338,O7af6071b-aa7d-4e10-b296-e483cbe33895,2017-05-24 19:12:00,WLAN,WLAN,48.44614778184187,16.29921982997684,,5.0,2004,31234,AT,9273,9703,40.1,,,RTR Server 10G AT,7,3,iOS,iPhone 6,1.7,,,,nat_local_to_public_ipv4,8412,46.125.250,,,false,
P575fade0-7ccc-43d2-bf67-25fbb8b9d1f1,O2227365b-e836-4d35-99a7-366f4cc38e9a,2017-05-24 19:12:02,WLAN,WLAN,,,,,,,,3040,22880,99.9,,,RTR Server 10G AT,7,3,Android,SM-J700F,3.0.2,,,,nat_local_to_public_ipv4,6830,84.115.204,,,false,-36
Pa26eea4b-2ff8-4ce6-ab85-1ec3d333575e,Ob3a115bd-8c63-4d4e-a92c-9b1ac0dd3dca,2017-05-24 19:12:19,4G,LTE,,,,,,,,71349,30625,18.3,-91,-9,RTR Server 10G AT,7,3,Android,SM-G955F,3.0.2,232-01,A1,232-01,nat_local_to_public_ipv4,12793,213.225.11,,,false,
Pc7813cfd-3354-40d4-a25d-6c3707dbed0a,O8efdb7a0-c67e-487e-b25f-df66dacaac1f,2017-05-24 19:12:29,4G,LTE,47.41877917811529,11.75565026459461,,200.0,6212,70907,AT,43012,7861,39.8,,,RTR Server 10G AT,7,3,iOS,iPhone 5s,1.7,,,232-17,nat_local_to_public_ipv4,51265,185.69.244,,,false,
P62ff1c2e-6721-43eb-9f16-ae15c2303542,O72c58490-50ca-408d-b197-ec5e3379bdc9,2017-05-24 19:12:31,WLAN,WLAN,,,,,,,,13797,4805,20.0,,,RTR Server 10G AT,7,3,Android,Galaxy S4 Mini,3.0.2,,,,nat_local_to_public_ipv4,8412,46.125.249,,,false,-66
P088cb10b-d733-4176-8b33-5b7ca7ba3c53,Ocd115025-2918-4e67-bab8-59beb86f6179,2017-05-24 19:12:39,LAN,LAN,,,Browser,,,,,37472,7891,17.2,,,RTR Websocket 10G AT,7,3,,IE,0.6.4,,,,,8447,192.164.134,,,false,
Pb524d963-8533-4112-8cc4-c42146e8c09f,O22431fb6-4a66-4c6f-af9b-01813def18d9,2017-05-24 19:12:39,WLAN,WLAN,,,,,,,,13564,8148,14.4,,,RTR Server 10G AT,7,3,Android,Galaxy S5,3.0.2,,,,nat_local_to_public_ipv4,1901,193.154.116,,,false,-38
P767073ae-9fb1-41a4-b153-b6f91237c843,O702e889c-039c-4a12-b233-47f315b4106b,2017-05-24 19:12:53,LAN,LAN,,,,,,,,3182,420,41.8,,,RTR Websocket 10G AT,7,3,,IE Mobile,0.5,,,,,1901,193.83.122,,,false,
Pc46040f6-77f8-4d3d-b6ab-73ed4aaef01d,O2d8fafba-7197-4108-9783-3dd9e4533928,2017-05-24 19:12:54,WLAN,WLAN,,,,,,,,23159,9544,15.9,,,RTR Server 10G AT,7,3,iOS,iPad mini 3,1.7,,,,nat_local_to_public_ipv4,1901,193.81.146,,,false,
P248789da-b9b2-4e4e-8269-2ff22a3829a1,O60a4b6d8-e007-45ad-bdf3-15c8a21548de,2017-05-24 19:13:14,LAN,LAN,48.298424,16.3771648,Browser,26.0,2103,31214,AT,12923,1009,9.9,,,RTR Websocket 10G AT,7,3,,Chrome,0.6.4,,,,,8339,81.217.162,,,false,
P708ab1df-0e86-4a22-9f9c-9569dd111656,O167abfa4-903e-469c-bd0b-721cd99599dc,2017-05-24 19:13:15,WLAN,WLAN,,,,,,,,17437,5197,39.9,,,RTR Server 10G AT,7,3,Android,Galaxy S6 edge+,3.0.2,,,,nat_local_to_public_ipv4,25255,178.115.128,,,false,-57
P6a028767-3ce4-4fff-9c96-f72524032488,Oa8bd24f1-7384-450f-b257-fd5a5e81d72a,2017-05-24 19:13:21,WLAN,WLAN,,,,,,,,8541,1382,55.6,,,RTR Server DE,7,3,iOS,iPhone 7,1.7,,,,nat_local_to_public_ipv4,3209,109.45.0,,,false,
Pd86f4e34-931e-4439-b964-9c3a7e11cd5f,Ocfe4cccb-b188-4829-ad8b-727aa8514485,2017-05-24 19:13:31,LAN,LAN,47.6180513,16.4916131,Browser,20.0,7323,10820,AT,1797,1256,41.3,,,RTR Websocket 10G AT,7,3,,Firefox,0.6.4,,,,,25255,178.115.129,,,false,
Pd26352e4-40e6-4254-ab51-8dcca13f04ee,O6a99a409-1dec-47ef-ac9f-12c20fdd5372,2017-05-24 19:13:53,WLAN,WLAN,48.1372194,16.2789262,network,19.7,1230,92301,AT,60743,33136,32.6,,,RTR Server 10G AT,7,3,Android,Nexus 5X,3.0.2,,,,nat_local_to_public_ipv4,25255,77.119.233,,,false,-50
Pa908adb6-7ce5-4ba2-a79b-afe04efe776b,Oc32cf94e-f3e9-446c-ae2b-9a0de8b99600,2017-05-24 19:13:57,LAN,LAN,48.2984055,16.3772126,Browser,28.0,2103,31214,AT,12642,1003,8.6,,,RTR Websocket 10G AT,7,3,,Firefox,0.6.4,,,,,8339,81.217.162,,,false,
P21fc7d54-d351-440c-9a84-fecf1b29409a,O7a0aa6c2-6cfe-4aed-be01-c931ccc5cdd1,2017-05-24 19:13:58,LAN,LAN,47.1402357,9.853406699999999,Browser,21.0,6700,80125,AT,8822,8703,32.1,,,RTR Websocket 10G AT,7,3,,Chrome,0.6.4,,,,,8412,46.125.250,,,false,
P78f2508b-8ff9-4b4e-9d64-7e58f58dadee,Oa51bade5-b939-4358-a1e0-4b11e45883bd,2017-05-24 19:14:00,4G,LTE,48.15463796403745,16.3125729246359,,1178.0,1230,92301,AT,2792,67,46.9,,,RTR Server 10G AT,7,3,iOS,iPhone 7,1.7,,,232-03,nat_public_to_public_ipv4,8412,212.95.7,,,false,
P793f29cd-955d-4a2a-9a45-cb0ddfe3bf50,O06a51486-59c5-411a-ba1c-b1a763d25e06,2017-05-24 19:14:05,WLAN,WLAN,48.10536539522349,14.57111673615169,,65.0,3350,30514,AT,18105,4692,14.4,,,RTR Server 10G AT,7,3,iOS,iPhone 6s,1.7,,,,nat_local_to_public_ipv4,1901,193.154.116,,,false,
Pd26352e4-40e6-4254-ab51-8dcca13f04ee,O1147ae72-c12b-4432-b5d6-3220f9fe43c5,2017-05-24 19:14:19,WLAN,WLAN,48.1372194,16.2789262,network,19.7,1230,92301,AT,55336,33100,33.0,,,RTR Server 10G AT,7,3,Android,Nexus 5X,3.0.2,,,,nat_local_to_public_ipv4,25255,77.119.233,,,false,-51
P51f3f505-9f01-453d-85e0-8034679962b2,O3769e14f-121f-477c-8a47-0de552bdee91,2017-05-24 19:14:28,LAN,LAN,,,,,,,,32864,7482,11.6,,,RTR Websocket 10G AT,7,3,,Chrome,0.6.4,,,,,6830,80.109.239,,,false,
P734eded0-e3d1-4726-8ae6-9e97d865e22d,Oc7a8043f-3633-49cd-892a-6c5a4a8c6f09,2017-05-24 19:14:31,WLAN,WLAN,,,,,,,,1034,4785,50.9,,,RTR Server 10G AT,7,3,Android,Galaxy S7 edge,3.0.2,,,,nat_local_to_public_ipv4,25255,178.165.128,,,false,-55
P74efaa39-0c89-46ad-96d0-c3ac807042d9,Od261e23f-31c9-4625-99c9-d76fe40381ae,2017-05-24 19:14:39,WLAN,WLAN,48.24013804231197,16.50189430605687,,65.0,1220,92201,AT,424,1567,16.7,,,RTR Server 10G AT,7,1,iOS,iPhone 6s,1.7,,,,nat_local_to_public_ipv4,1901,193.154.231,,,false,
P088cb10b-d733-4176-8b33-5b7ca7ba3c53,Od5e4575b-4b35-4479-a2c5-22f7680b0049,2017-05-24 19:14:43,LAN,LAN,,,Browser,,,,,42409,5807,17.1,,,RTR Websocket 10G AT,7,3,,IE,0.6.4,,,,,8447,192.164.134,,,false,
Pe7861c2c-1f13-4981-abd0-e4b02840d56f,O1b5f47f1-de80-4437-8578-cca53e59f469,2017-05-24 19:14:48,LAN,LAN,48.21962196219622,16.41025641025641,rastered,100.0,1020,90201,AT,251009,25153,8.1,,,RTR Websocket 10G AT,7,3,,Firefox,0.6.4,,,,,6830,84.114.95,,,false,
P2f326e0c-db10-4cc2-aaeb-f09e1b2281c0,O0cd1365e-a4e2-4e21-8a29-015dfabda19e,2017-05-24 19:15:04,LAN,LAN,47.5584218,13.9318113,Browser,27.0,8983,61226,AT,1534,2720,18.0,,,RTR Websocket 10G AT,7,3,,Firefox,0.6.4,,,,,8447,91.115.229,,,false,
Pb290425b-f938-4e4c-ae9c-dfa21c7ab4c5,O07011c38-1ccf-4c64-a61f-5a4cc5c0fcc4,2017-05-24 19:15:04,WLAN,WLAN,,,,,,,,4704,4055,59.8,,,RTR Server 10G AT,7,3,iOS,iPhone 6s,1.7,,,,nat_local_to_public_ipv4,25255,178.115.131,,,false,
P099f1a60-84f0-482a-b002-91e961ad81ae,Od5cce827-be93-47b7-bfdf-5ff80ef4eb5c,2017-05-24 19:15:05,WLAN,WLAN,48.4017380280871,16.14197029733671,,5.0,2000,31208,AT,6986,5193,41.0,,,RTR Server 10G AT,7,3,iOS,iPhone 6s,1.7,,,,nat_local_to_public_ipv4,25255,77.119.130,,,false,
P734eded0-e3d1-4726-8ae6-9e97d865e22d,Ob3978545-3a15-4c49-b192-7c6d5d22810b,2017-05-24 19:15:11,WLAN,WLAN,,,,,,,,2356,5108,52.1,,,RTR Server 10G AT,7,3,Android,Galaxy S7 edge,3.0.2,,,,nat_local_to_public_ipv4,25255,178.165.128,,,false,-53
Pab101257-a41f-4009-9950-35fb3d52cfc0,Oa15132c5-3328-42c8-aea3-620bd7472e67,2017-05-24 19:15:16,LAN,LAN,48.3098776,14.3045908,Browser,500.0,4020,40101,AT,15135,3957,18.1,,,RTR Websocket 10G AT,7,3,,Chrome Mobile,0.6.4,,,,,1901,193.83.110,,,false,
P9e23bf9a-8787-4785-b388-105178bde819,Odd5fac9b-d342-4bdf-9f1c-01be730286d4,2017-05-24 19:15:35,WLAN,WLAN,48.294627730155916,16.196996771765754,gps,16.0,3413,32142,AT,20186,7676,56.5,,,RTR Server 10G AT,7,3,Android,Galaxy TabS 10.5 (SM-T800),3.0.2,,,,nat_local_to_public_ipv4,25255,178.165.130,,,false,-40
P099f1a60-84f0-482a-b002-91e961ad81ae,O0c8da23e-a4ac-4857-99a9-ffe96be02593,2017-05-24 19:15:35,WLAN,WLAN,48.40176363480128,16.14194716328396,,5.0,2000,31208,AT,3641,5467,40.1,,,RTR Server 10G AT,7,3,iOS,iPhone 6s,1.7,,,,nat_local_to_public_ipv4,25255,77.119.130,,,false,
